Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Antonio Allen,,,,,,,,,,,,,O,IR,IR,IR,,,,Jets,2016
Robby Anderson,,,,,,,,,,,,,,,,Q,23,WR,450000,Jets,2016
Brandon Bostick,,,,,,,,,,,,,,Q,,,27,te,600000,Jets,2016
Braedon Bowman,,,,,O,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2016
Juston Burris,,,,,,,,,,,,,,,,Q,,,,Jets,2016
Bruce Carter,Q,Q,,Q,,,,O,O,O,,Q,,,,,,,,Jets,2016
Mike Catapano,,,,,,,,,,,,,,IR,IR,IR,,,,Jets,2016
Jake Ceresna,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2016
Ryan Clady,,,,Q,,,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR,30,LT,3500000,Jets,2016
Kellen Davis,,,,,,,,,O,,IR,IR,IR,IR,IR,IR,31,TE,885000,Jets,2016
Eric Decker,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2016
Quincy Enunwa,,,,,Q,,,,,,,,,Q,,,24,WR,525000,Jets,2016
Ryan Fitzpatrick,,,,,,,,,,Q,,,,,,,34,QB,2000000,Jets,2016
Matt Forte,,,,,,,,,,,,,,Q,IR,O,31,RB,1000000,Jets,2016
Breno Giacomini,IR,IR,IR,IR,IR,IR,IR,,Q,,,Q,O,IR,IR,IR,31,rg,5000000,Jets,2016
Marcus Gilchrist,,,,,,,,,,,,,,IR,IR,IR,28,FS,5000000,Jets,2016
David Harris,Q,Q,Q,,,D,,,,,,,,,,,32,RILB,7500000,Jets,2016
Erin Henderson,,,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2016
Jordan Jenkins,D,D,,,,,,,,,,,,,,,22,ROLB,450000,Jets,2016
Darron Lee,,,,,,,O,O,O,,,,,,,,22,LILB,450000,Jets,2016
Corey Lemonier,,,,D,,,,,,,,,,,,,,,,Jets,2016
Nick Mangold,,,,,,Q,Q,D,D,O,Q,,IR,IR,IR,IR,32,C,5600000,Jets,2016
Jalin Marshall,,,,O,D,,,,,,,O,O,,,,,,,Jets,2016
Nick Marshall,,,,,,,,,,,O,,,,,D,,,,Jets,2016
Josh Martin,,,,,,,,,,O,,,,,,,,,,Jets,2016
Lorenzo Mauldin,,,,,,,,,,,,D,O,O,O,O,,,,Jets,2016
Steve McLendon,,,,,,,,,,,Q,O,O,O,O,O,30,NT,1750000,Jets,2016
Dee Milliner,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2016
Romar Morris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2016
Julien Obioha,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2016
Bryce Petty,O,O,O,O,O,,,,,,,,,,,IR,,,,Jets,2016
Calvin Pryor,,,,,,,,,,,,O,,,,,24,SS,1198478,Jets,2016
Brent Qvale,,,,,,,O,D,D,,,,,D,,,25,rt,525000,Jets,2016
Darrelle Revis,,,,,D,Q,,,,,,,,,,,31,RCB,17000000,Jets,2016
Sheldon Richardson,,,,,,,,,,,,,,,,Q,26,LOLB,1671530,Jets,2016
Darryl Roberts,O,D,,,,,,,,,,,,,,,,,,Jets,2016
Khiry Robinson,,,,,,,,,,,,,O,D,Q,IR,,,,Jets,2016
Austin Seferian-Jenkins,,,,,,Q,O,D,,,,,,,,O,,,,Jets,2016
Brandon Shell,,,,,,,,,Q,Q,,,,,,,,,,Jets,2016
Buster Skrine,,,,,,,,D,,Q,,,,O,,,27,LCB,2750000,Jets,2016
Devin Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,Jets,2016
Geno Smith,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2016
Julian Stanford,,,,,,,,,,,,,IR,IR,IR,IR,,,,Jets,2016
Lawrence Thomas,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2016
Brandon Wilds,,,,,,,,,,,,,,,,Q,,,,Jets,2016
Muhammad Wilkerson,,Q,,,,,Q,Q,Q,,,Q,Q,Q,Q,Q,27,RDE,7000000,Jets,2016
Marcus Williams,,,,,,,,,,O,O,Q,,,,,,,,Jets,2016
Brian Winters,,,,,O,,,,,,,,,,IR,IR,25,RG,1671000,Jets,2016
