Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Jamal Agnew,,,,,,,,,,,O,O,Q,,,,,,,Lions,2019
Danny Amendola,,,,Q,Q,,,,,,,,,,,,34,WR,4250000,Lions,2019
John Atkins,,,,,,,,,,,,,,Q,,,27,dt,495000,Lions,2019
Nick Bawden,,,,,,Q,Q,,,Q,IR,IR,IR,IR,IR,IR,,,,Lions,2019
Austin Bryant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,D,,,,,,,Lions,2019
Tra Carson,,,,,,,,IR,IR,,,,,,,,,,,Lions,2019
Joe Dahl,,,,,,,,,Q,,,,,IR,IR,IR,26,LG,720000,Lions,2019
Mike Daniels,,,,O,O,O,O,D,Q,,,,,,IR,IR,,,,Lions,2019
Jarrad Davis,Q,Q,Q,,,,,,,,,,,O,IR,IR,25,MLB,1462198,Lions,2019
Taylor Decker,,Q,Q,,,,,,,,,,,,,,26,LT,1945498,Lions,2019
Quandre Diggs,,,,,Q,Q,,,,,,,,,,,26,ss,2657000,Lions,2019
Jeff Driskel,,,,,,,,,,,,Q,IR,IR,IR,IR,,,,Lions,2019
Trey Flowers,,,,,,,,,,,O,Q,,,,,26,LDE,805000,Lions,2019
Graham Glasgow,,,,,,,,Q,Q,,,,,,,,27,G,2025000,Lions,2019
Marvin Hall,,,,,,,,,,,,O,IR,IR,IR,IR,,,,Lions,2019
Da'Shawn Hand,O,Q,O,Q,Q,Q,,,O,O,O,Q,O,IR,IR,IR,,,,Lions,2019
Damon Harrison,,,,,,,Q,Q,Q,Q,,Q,,,,,31,DT,6750000,Lions,2019
T.J. Hockenson,,,,,Q,,,,,,,Q,IR,IR,IR,IR,22,te,495000,Lions,2019
Kerryon Johnson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,22,RB,775622,Lions,2019
Christian Jones,,,,,,,,,,,,,,Q,IR,IR,28,RLB,2450000,Lions,2019
Marvin Jones,,,,,,,,,,,,,,IR,IR,IR,29,WR,6500000,Lions,2019
Jermaine Kearse,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Lions,2019
Devon Kennard,,,,,,,,,,,,,,,Q,Q,28,LLB,3500000,Lions,2019
Darius Kilgo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Lions,2019
Miles Killebrew,,,,,,,,,O,,,,,,,,,,,Lions,2019
Tre Lamar,IR,IR,,,,,,,,,,,,,,,,,,Lions,2019
Steve Longa,,,,,,,,,,,,,,,,Q,,,,Lions,2019
Sam Martin,,,,,,,,,Q,Q,,,,,,,,,,Lions,2019
Rashaan Melvin,Q,,Q,,,,,,,,Q,O,Q,,,,30,CB,1300000,Lions,2019
C.J. Moore,,,Q,,,,,,,,,,,,,,,,,Lions,2019
Romeo Okwara,,,,,,,,,Q,Q,,,,,,,,,,Lions,2019
Amani Oruwariye,,,,,O,O,O,Q,,,,,,,,,,,,Lions,2019
Matt Prater,,,,,,,,,,,,,,,,Q,,,,Lions,2019
Frank Ragnow,Q,,,,,,,,,,O,,,,,,23,C,1015461,Lions,2019
A'Shawn Robinson,,,,,Q,,,Q,Q,,,,,O,O,O,24,DT,1163678,Lions,2019
Bo Scarbrough,,,,,,,,,,,,,,Q,Q,,25,rb,,Lions,2019
Darius Slay,,,,Q,Q,Q,O,Q,,,,,,,,,,,,Lions,2019
Matthew Stafford,,,,Q,,,,,Q,O,O,O,O,O,IR,IR,31,QB,13500000,Lions,2019
Kevin Strong,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Lions,2019
Jahlani Tavai,,,,,,,,,,,,,,,,IR,23,mlb,495000,Lions,2019
Ricky Wagner,,,,,,Q,,,,O,,,,O,O,Q,30,RT,9000000,Lions,2019
Tracy Walker,,,,,,,,O,O,Q,O,Q,,,,,24,FS,628000,Lions,2019
Kenny Wiggins,,,,,,,,,,,,,,,IR,IR,,,,Lions,2019
Tavon Wilson,,,,,,,,,,,,,,,,Q,29,SS,1000000,Lions,2019
