Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Sam Acho,O,P,,,,,,,,,,,Q,,,,27,LOLB,550588,Bears,2015
Adrian Amos,,,,,,,,,,,,,,,Q,Q,22,SS,493070,Bears,2015
Alan Ball,,,,Q,Q,,,,,,,,,,,,,,,Bears,2015
Josh Bellamy,,,,,,Q,,,,,,,,,,,,,,Bears,2015
Martellus Bennett,,,,,,Q,,,,,O,P,IR,IR,IR,IR,28,TE,6125000,Bears,2015
Jonathan Bostic,Q,O,D,,,,,,,,,,,,,,,,,Bears,2015
Jermon Bushrod,P,P,,O,O,Q,Q,Q,Q,P,,,,,,,,,,Bears,2015
Bryce Callahan,,,,,,,,Q,,,,,Q,D,Q,Q,,,,Bears,2015
Ka'Deem Carey,,,,,,,,,,,O,P,,,,,,,,Bears,2015
Jimmy Clausen,P,,,,Q,,,,,,,,,,,,,,,Bears,2015
Jay Cutler,,,O,Q,Q,,,,,,,P,,,,,32,QB,16500000,Bears,2015
Tayo Fabuluje,,,,,Q,,,,,,,,,,,,,,,Bears,2015
Ego Ferguson,,Q,Q,Q,,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2015
Matt Forte,,,P,,,,,O,Q,Q,Q,,,,,Q,30,RB,9200000,Bears,2015
Bruce Gaston,,,,,,,Q,,,,,Q,,,,,,,,Bears,2015
Eddie Goldman,P,,,,,,,,,,,,,,,IR,21,NT,1033875,Bears,2015
Hroniss Grasu,,,,,,,Q,D,Q,P,,,,,,D,24,C,625479,Bears,2015
Alshon Jeffery,Q,Q,O,Q,Q,Q,,,Q,Q,Q,,,Q,IR,IR,25,WR,1447036,Bears,2015
Jarvis Jenkins,,,,,,,,,,,,,,,,Q,27,RDE,825000,Bears,2015
Kyle Long,,,,,Q,,,,,,,P,,,,,,,,Bears,2015
Sherrod Martin,,,,,,,,,,,Q,,,,,,,,,Bears,2015
Shea McClellin,,,,,Q,D,D,Q,Q,Q,,,P,,D,Q,26,LILB,2629263,Bears,2015
Sherrick McManis,,P,,,Q,,,,,,,,,Q,,,,,,Bears,2015
Pernell McPhee,,Q,Q,,Q,Q,P,Q,Q,Q,Q,P,D,Q,Q,Q,27,ROLB,6675000,Bears,2015
Cameron Meredith,,,,,,,,P,,,,,,,,,,,,Bears,2015
Zach Miller,,,,,,,,Q,,,,Q,Q,Q,,Q,31,TE,660000,Bears,2015
Terrance Mitchell,,,,,,D,,,,,,,,,,,,,,Bears,2015
Will Montgomery,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2015
Ryan Mundy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2015
Pat O'Donnell,,,,Q,P,,,,,,,,,,,,,,,Bears,2015
Patrick Omameh,,,,,Q,Q,P,,,,,,,,,,26,RG,585000,Bears,2015
Senorise Perry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2015
Tracy Porter,O,O,Q,,,,,,Q,,,,Q,Q,Q,Q,29,LCB,585000,Bears,2015
Jay Ratliff,,,,Q,Q,Q,,,,,,,,,,,,,,Bears,2015
LaRoy Reynolds,,,,,,,,P,,,Q,,,,,,,,,Bears,2015
Jacquizz Rodgers,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2015
Antrel Rolle,,,,,D,D,Q,,Q,IR,IR,IR,IR,IR,IR,IR,33,FS,5000000,Bears,2015
Eddie Royal,Q,,Q,,Q,Q,,O,O,O,O,Q,Q,,Q,D,29,WR,5500000,Bears,2015
Matt Slauson,,,P,,,,P,,,,,,,,,,29,LG,3267500,Bears,2015
Will Sutton,,,,Q,Q,Q,,,,,,,,Q,,,24,LDE,671517,Bears,2015
Mitch Unrein,,,,,,,,,P,,,,,,,Q,,,,Bears,2015
Cornelius Washington,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2015
Kevin White,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2015
Marquess Wilson,Q,,P,,,,,,,,,IR,O,IR,IR,IR,23,wr,596787,Bears,2015
Willie Young,,,,,,,,,,,,,,,,Q,30,LILB,3166666,Bears,2015
