Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Otaro Alaka,,,,,,,IR,,,,,,,,,,Ravens,2020
Anthony Averett,,,,,,,IR,IR,IR,IR,IR,IR,,26.0,CB,555884.0,Ravens,2020
Terrell Bonds,,,,,,,,,,IR,IR,C19,C19,,,,Ravens,2020
Tyus Bowser,,,,,,,,C19,,,,,,25.0,OLB,1225310.0,Ravens,2020
Nick Boyle,,,,,Q,,,,,IR,IR,IR,IR,,,,Ravens,2020
Jacob Breeland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2020
Dez Bryant,,,,,,,,,,,,,C19,32.0,WR,,Ravens,2020
Calais Campbell,,,,,,,,,O,D,C19,C19,,34.0,DE,5000000.0,Ravens,2020
J.K. Dobbins,,,,,,,,,,,C19,C19,,22.0,RB,610000.0,Ravens,2020
Khalil Dorsey,,,,,,,,,IR,IR,IR,IR,IR,,,,Ravens,2020
Devin Duvernay,,,,,,,,Q,,,,,,23.0,WR,610000.0,Ravens,2020
Jaylon Ferguson,,,,,,,,,,,C19,,,25.0,DE,675000.0,Ravens,2020
D.J. Fluker,,,Q,,,,,,,,C19,,,29.0,OT,1050000.0,Ravens,2020
L.J. Fort,,,,Q,,,,O,Q,Q,,,,30.0,LILB,1750000.0,Ravens,2020
Robert Griffin III,,,,,,,,,,,,IR,IR,,,,Ravens,2020
Justice Hill,O,Q,,Q,,,,,,,,,,23.0,RB,675000.0,Ravens,2020
Mark Ingram,,,,,,,D,D,Q,,C19,C19,,31.0,RB,4000000.0,Ravens,2020
Matt Judon,,,,,,,,C19,Q,,C19,C19,C19,28.0,DE,16808000.0,Ravens,2020
Justin Madubuike,O,O,Q,Q,Q,,,,,,C19,C19,,23.0,DL,610000.0,Ravens,2020
Iman Marshall,,,,,,,IR,,,,C19,IR,IR,,,,Ravens,2020
Chris Moore,O,O,Q,Q,Q,Q,,D,IR,IR,IR,IR,IR,,,,Ravens,2020
Tyre Phillips,Q,,,,D,Q,,IR,IR,IR,IR,,,23.0,OL,498821.0,Ravens,2020
Patrick Ricard,,,,,,,,,,,C19,C19,,26.0,DE,1000000.0,Ravens,2020
Andre Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2020
Jimmy Smith,,Q,,Q,Q,Q,Q,Q,D,Q,Q,,,32.0,CB,2500000.0,Ravens,2020
Ronnie Stanley,,Q,,Q,Q,Q,,IR,IR,IR,IR,IR,IR,,,,Ravens,2020
De'Anthony Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2020
Jihad Ward,,,,,,,,,,,C19,C19,,26.0,DE,910000.0,Ravens,2020
Broderick Washington Jr.,,,,,Q,,,,,,C19,,,24.0,DL,610000.0,Ravens,2020
Antoine Wesley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2020
DeAndrew White,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2020
Brandon Williams,,,,,,C19,C19,,,D,C19,,,31.0,DT,4250000.0,Ravens,2020
Derek Wolfe,,,,Q,Q,D,,,,,Q,,,30.0,DT,2250000.0,Ravens,2020
Tavon Young,,,O,,,,IR,,,,,,,,,,Ravens,2020
