Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Adrian Amos,,,,,,,,,,,,D,D,Q,,,24.0,SS,615000,Bears,2017
Prince Amukamara,D,Q,,,,,,,,,,,,,,,28.0,LCB,3500000,Bears,2017
Josh Bellamy,,Q,,,,,,,,,D,,,,,,28.0,WR,775000,Bears,2017
Deon Bush,,Q,,,,,,,,,,Q,,,,,,,,Bears,2017
Ka'Deem Carey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2017
Benny Cunningham,,D,,,,,Q,Q,,,,,,,,,,,,Bears,2017
Quintin Demps,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2017
Leonard Floyd,,Q,,,,,,,,,IR,IR,IR,IR,IR,IR,25.0,ROLB,1167403,Bears,2017
Jerrell Freeman,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2017
Eddie Goldman,,,,,,,,,,,,,D,Q,,,23.0,NT,951938,Bears,2017
Deiondre' Hall,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,,,,Bears,2017
Akiem Hicks,,,,,,,,,,,Q,,,,,,28.0,LDE,7000000,Bears,2017
Lamarr Houston,IR,IR,IR,IR,IR,,IR,,,,IR,,,,,,,,,Bears,2017
DeAndre Houston-Carson,,,,,,,,,,Q,D,Q,Q,Q,,Q,,,,Bears,2017
Dontrelle Inman,,,,,,,,,,,Q,,,,,,,,,Bears,2017
Isaiah Irving,,,,,,,,,,,,O,IR,IR,IR,IR,,,,Bears,2017
Eric Kush,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2017
Nick Kwiatkoski,,,O,D,D,Q,Q,,,,,,,,,,,,,Bears,2017
Kyle Long,Q,Q,,,,,,,Q,,Q,,IR,IR,IR,IR,29.0,RG,6250000,Bears,2017
Bobby Massie,,,,,,,,,,,,,,,,D,28.0,RT,4200000,Bears,2017
Sherrick McManis,,,,,,,D,D,Q,,,,,,,,,,,Bears,2017
Pernell McPhee,Q,,,,,,,,,,Q,,D,,IR,IR,,,,Bears,2017
Cameron Meredith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2017
Zach Miller,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,33.0,te,1500000,Bears,2017
Chris Prosinski,,,,,,,,,,,,,,,Q,IR,,,,Bears,2017
Rueben Randle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2017
Roy Robertson-Harris,,,,,,,,D,Q,,D,,,,,,,,,Bears,2017
Cairo Santos,,,,,,,,,,,,,IR,IR,IR,IR,,,,Bears,2017
Patrick Scales,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2017
Dion Sims,,,,,,,,,Q,Q,Q,,,,,,26.0,TE,2000000,Bears,2017
Josh Sitton,,,D,Q,,,,,,,,Q,,,D,D,31.0,LG,4650000,Bears,2017
John Timu,,,,,,O,D,D,,,,,,,,,,,,Bears,2017
Danny Trevathan,,,,,,,,,Q,Q,D,,,,,,27.0,RILB,2000000,Bears,2017
Mitch Unrein,,,,,,,,,,,Q,,IR,IR,IR,IR,30.0,RDE,1000000,Bears,2017
Markus Wheaton,Q,Q,,,,O,O,D,,,,,,,,,,,,Bears,2017
Kevin White,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2017
Willie Young,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,32.0,,"$1,000,00",Bears,2017
